iter	Logloss
0	0.6774769158
1	0.6611406738
2	0.6454246959
3	0.6306571155
4	0.6194173254
5	0.6074741424
6	0.5943158253
7	0.5789681403
8	0.5699122255
9	0.5585406706
10	0.5520196481
11	0.54630957
12	0.5368982245
13	0.5253543945
14	0.514624441
15	0.5052693196
16	0.4982492124
17	0.4893214692
18	0.4842634447
19	0.4766550768
20	0.4697137035
21	0.4641455618
22	0.4561221756
23	0.4513089267
24	0.4445118111
25	0.4384657278
26	0.4315423078
27	0.4278665675
28	0.4232768816
29	0.4151595503
30	0.4101381725
31	0.4052310272
32	0.402581222
33	0.3973771109
34	0.394180301
35	0.3879665739
36	0.3811050657
37	0.3759041569
38	0.370962754
39	0.3668638593
40	0.3635664279
41	0.3601784754
42	0.356497534
43	0.3519830121
44	0.3475707173
45	0.3438870186
46	0.3395943645
47	0.3353507198
48	0.3329599841
49	0.3313553468
50	0.329840683
51	0.3267060212
52	0.3230993067
53	0.320642119
54	0.3181959049
55	0.3160521212
56	0.3126184465
57	0.311287102
58	0.3089489099
59	0.3067866402
60	0.3045059057
61	0.3027017479
62	0.301757912
63	0.2986231318
64	0.2966316642
65	0.2953436225
66	0.2921529901
67	0.2906880773
68	0.2897275477
69	0.2876501463
70	0.285315579
71	0.2844008419
72	0.2837439881
73	0.2829139749
74	0.2814813493
75	0.2795191721
76	0.2784850273
77	0.2778404375
78	0.2770754558
79	0.2763302103
80	0.2756669116
81	0.2751075391
82	0.2729023344
83	0.2719850909
84	0.269943456
85	0.2686090543
86	0.267247067
87	0.2657381947
88	0.264656036
89	0.263214175
90	0.2618299314
91	0.261262946
92	0.2604130925
93	0.2597693841
94	0.2590096697
95	0.2584546846
96	0.257862928
97	0.2565337088
98	0.2555441684
99	0.2543948717
100	0.2539044696
101	0.2531291135
102	0.2521440209
103	0.2514394152
104	0.2511347805
105	0.2496413609
106	0.2488921682
107	0.2484898476
108	0.2480418174
109	0.2468186916
110	0.2464453041
111	0.2459454682
112	0.2453991817
113	0.2450090291
114	0.2443773491
115	0.243950987
116	0.2430226469
117	0.2427228193
118	0.2413679147
119	0.240335412
120	0.2390911672
121	0.2379365586
122	0.2376570476
123	0.2374001348
124	0.2368893342
125	0.2361206051
126	0.2355564577
127	0.235122799
128	0.2348271372
129	0.2344420687
130	0.233979559
131	0.2329034773
132	0.2320824029
133	0.2317083838
134	0.2313984217
135	0.2311428529
136	0.2308439827
137	0.2298611733
138	0.229641719
139	0.2293190628
140	0.2289912454
141	0.2285041687
142	0.2280752109
143	0.227442154
144	0.227163915
145	0.2268068903
146	0.2264789364
147	0.2258358889
148	0.2256728339
149	0.2254411148
150	0.2251695393
151	0.2242864915
152	0.2238826322
153	0.2234834607
154	0.223141713
155	0.22250191
156	0.222354714
157	0.2222152264
158	0.2217677371
159	0.2216349445
160	0.2212977977
161	0.2210280164
162	0.220679841
163	0.2202693971
164	0.219430694
165	0.2189583232
166	0.2187252113
167	0.2185318234
168	0.2181071574
169	0.2174987988
170	0.2170212006
171	0.2163660785
172	0.2159741199
173	0.2158115371
174	0.2155186873
175	0.2151761814
176	0.2149536427
177	0.2146237105
178	0.2143133438
179	0.2140209608
180	0.2137787583
181	0.2136289243
182	0.2132503726
183	0.2129844743
184	0.2125413409
185	0.2123214484
186	0.2118389426
187	0.2117151221
188	0.2113444756
189	0.2107315835
190	0.2103058181
191	0.2100817408
192	0.2095504646
193	0.2092181589
194	0.2090542621
195	0.2089225101
196	0.2086982387
197	0.2085023612
198	0.2081292383
199	0.2077675082
200	0.2074164602
201	0.2072666204
202	0.2071787441
203	0.2069628478
204	0.2067899112
205	0.2066427633
206	0.2065999208
207	0.2062066474
208	0.2060905702
209	0.2059981198
210	0.2056919765
211	0.2054534677
212	0.2053697793
213	0.2050820701
214	0.2047795383
215	0.2047081861
216	0.2045739539
217	0.2043811875
218	0.2042958218
219	0.2042022
220	0.2040309556
221	0.2039066683
222	0.2038344304
223	0.2035977366
224	0.203518665
225	0.2033924697
226	0.2032980579
227	0.2031365911
228	0.2029337302
229	0.2028570003
230	0.2027158049
231	0.202641185
232	0.2025071127
233	0.2024201342
234	0.2018582595
235	0.2016861542
236	0.2015355165
237	0.2012641431
238	0.2011585723
239	0.2010904912
240	0.2009561361
241	0.200760211
242	0.2005876763
243	0.200489219
244	0.2004137812
245	0.2002408123
246	0.2000479617
247	0.1998980005
248	0.1998911129
249	0.1998129588
250	0.1996854638
251	0.1996390774
252	0.1995423387
253	0.1994430034
254	0.1993824918
255	0.1990454061
256	0.1989531751
257	0.1988221328
258	0.1987382778
259	0.1986897119
260	0.1985591613
261	0.1985368403
262	0.1982763446
263	0.1981423327
264	0.1980693101
265	0.1978393981
266	0.1977591125
267	0.1976001962
268	0.1974359865
269	0.196993592
270	0.1968805897
271	0.1966196409
272	0.1963060452
273	0.1960897765
274	0.1960068538
275	0.1956281379
276	0.1953652637
277	0.1953333876
278	0.1951167394
279	0.1950526399
280	0.1949888976
281	0.194666248
282	0.1945907803
283	0.1943540133
284	0.1941631244
285	0.1940418248
286	0.1940042855
287	0.19393836
288	0.1938822813
289	0.1937400337
290	0.1936641174
291	0.1935038748
292	0.1933521602
293	0.1931256293
294	0.1930352021
295	0.1928078828
296	0.1927555728
297	0.1926630173
298	0.1926101447
299	0.192440922
300	0.1923049921
301	0.1921792468
302	0.1921080499
303	0.1919722765
304	0.1916617665
305	0.1915002088
306	0.1914195872
307	0.1913067056
